geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.11264548653557244, y=0.7507555883096277, z=0.13727986474582937), rotation=geometry_msgs.msg.Quaternion(x=-0.026912816529857553, y=0.7270033311005127, z=0.049825568184088294, w=0.6842947242455704)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17145779019400859, y=0.6048632650163992, z=0.11316375242297716), rotation=geometry_msgs.msg.Quaternion(x=0.006221610482504321, y=0.7090502533722554, z=0.007861165551411455, w=0.7050866839133454)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.1220703125, y=0.0457763671875, z=-0.42724609375), torque=geometry_msgs.msg.Vector3(x=-0.03387451171875, y=-0.05126953125, z=0.0048828125))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.11266329549780849, y=0.7507639991821442, z=0.1372814995506848), rotation=geometry_msgs.msg.Quaternion(x=-0.02690246145018395, y=0.7270053583344103, z=0.04983365298868532, w=0.6842923889323775)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.1714756018006595, y=0.604853241722684, z=0.11315680703559156), rotation=geometry_msgs.msg.Quaternion(x=0.006221907182637355, y=0.7090619401054991, z=0.007844644904585375, w=0.7050751126732224)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.091552734375, y=0.0152587890625, z=-0.3204345703125), torque=geometry_msgs.msg.Vector3(x=-0.03509521484375, y=-0.050048828125, z=0.005126953125))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.11266377543779019, y=0.7507718157471852, z=0.13726991215082285), rotation=geometry_msgs.msg.Quaternion(x=-0.026900020347666066, y=0.7270032420662268, z=0.04981914646755714, w=0.6842957895352961)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17147308224992985, y=0.6048622920407487, z=0.11320233215614511), rotation=geometry_msgs.msg.Quaternion(x=0.006226374211632491, y=0.7090423611249831, z=0.007876913811268366, w=0.7050944026322261)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.091552734375, y=0.0, z=-0.4119873046875), torque=geometry_msgs.msg.Vector3(x=-0.03509521484375, y=-0.0506591796875, z=0.004150390625))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.1128776658437439, y=0.7058923636563578, z=0.13634835980362164), rotation=geometry_msgs.msg.Quaternion(x=-0.026930049840684554, y=0.7269914784259187, z=0.04979202156623109, w=0.6843090802408099)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17144880224398684, y=0.604854495003335, z=0.11315886016429227), rotation=geometry_msgs.msg.Quaternion(x=0.006235541743166156, y=0.7090587024971764, z=0.007840766277748597, w=0.705078291267266)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.457763671875), torque=geometry_msgs.msg.Vector3(x=-0.0628662109375, y=-0.02532958984375, z=-0.00732421875))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.1133006231188595, y=0.6064969876687974, z=0.1344319886195769), rotation=geometry_msgs.msg.Quaternion(x=-0.026889356770684946, y=0.7270173851997883, z=0.049865431484655644, w=0.684277811164859)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17148509616765556, y=0.6048520255997517, z=0.11311933294781656), rotation=geometry_msgs.msg.Quaternion(x=0.006185768221877366, y=0.7090744608421387, z=0.007833885380856996, w=0.7050629585312047)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=0.0152587890625, y=-0.0152587890625, z=-0.42724609375), torque=geometry_msgs.msg.Vector3(x=-0.0726318359375, y=-0.0103759765625, z=-0.00439453125))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.11356081296362275, y=0.5543675823601648, z=0.1333435654816933), rotation=geometry_msgs.msg.Quaternion(x=-0.02691298606392474, y=0.7270029996719265, z=0.049812510913047565, w=0.6842960203053073)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17145484535702435, y=0.6048423179998721, z=0.11313497158421293), rotation=geometry_msgs.msg.Quaternion(x=0.006238015822301105, y=0.7090616732191357, z=0.007831165646741115, w=0.705075388575501)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.030517578125, y=0.1373291015625, z=-0.4425048828125), torque=geometry_msgs.msg.Vector3(x=-0.074462890625, y=-0.00885009765625, z=-0.002197265625))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.11355507123710523, y=0.5543581383845683, z=0.133364351131521), rotation=geometry_msgs.msg.Quaternion(x=-0.02690922354541859, y=0.7270078441129666, z=0.04984288968216645, w=0.6842888093740321)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.1714608527073986, y=0.6048167272314096, z=0.11320284045157097), rotation=geometry_msgs.msg.Quaternion(x=0.006289741229799469, y=0.7090434715287139, z=0.007853633777134649, w=0.7050929832825361)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=0.0152587890625, y=0.06103515625, z=-0.42724609375), torque=geometry_msgs.msg.Vector3(x=-0.069580078125, y=-0.01007080078125, z=-0.001708984375))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.11357515913553579, y=0.554354959954151, z=0.13335901993947463), rotation=geometry_msgs.msg.Quaternion(x=-0.02689826529724152, y=0.7270041094149621, z=0.04984809255500505, w=0.6842928290479044)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17146432329862296, y=0.6048546303629413, z=0.11314640570182721), rotation=geometry_msgs.msg.Quaternion(x=0.006235099544490401, y=0.7090607352512361, z=0.007845813722556334, w=0.7050761947943482)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=0.0152587890625, y=0.0457763671875, z=-0.4425048828125), torque=geometry_msgs.msg.Vector3(x=-0.069580078125, y=-0.01190185546875, z=-0.001708984375))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.19096055362186484, y=0.5547352231543772, z=0.13288636064323228), rotation=geometry_msgs.msg.Quaternion(x=-0.026895483487864164, y=0.7270129420658652, z=0.049830574069954114, w=0.6842848302604316)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.1714730336230827, y=0.6048397202787326, z=0.11311742582051842), rotation=geometry_msgs.msg.Quaternion(x=0.006226290418416047, y=0.7090715910798844, z=0.007828186605253843, w=0.7050655512259412)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.06103515625, y=0.0457763671875, z=-0.2899169921875), torque=geometry_msgs.msg.Vector3(x=-0.03631591796875, y=-0.013427734375, z=0.0029296875))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.21599495664443932, y=0.5548572212136829, z=0.13271607835965754), rotation=geometry_msgs.msg.Quaternion(x=-0.02688637555079804, y=0.7270093379999335, z=0.04981959172871154, w=0.6842898169274657)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17145259032036067, y=0.6048171527068382, z=0.11316931075810305), rotation=geometry_msgs.msg.Quaternion(x=0.006267636127206021, y=0.7090559919250371, z=0.007836499329515866, w=0.7050807800038498)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.1373291015625, y=0.030517578125, z=-0.1983642578125), torque=geometry_msgs.msg.Vector3(x=-0.04364013671875, y=-0.02410888671875, z=0.0029296875))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.2032204348316792, y=0.554780640363204, z=0.13280780299019956), rotation=geometry_msgs.msg.Quaternion(x=-0.026888934145096667, y=0.72701272178711, z=0.049832984124839344, w=0.6842851461733276)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.1714565323814009, y=0.6048874290076112, z=0.11319279984683378), rotation=geometry_msgs.msg.Quaternion(x=0.006244056082401476, y=0.7090323984666367, z=0.007899300275736456, w=0.7051040141308531)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=0.0, y=0.1220703125, z=-0.30517578125), torque=geometry_msgs.msg.Vector3(x=-0.0634765625, y=-0.02532958984375, z=0.00146484375))
